line_number,lyric_line
417,"Oh-oh, oh, oh (Work, work, work, work)"
418,Every knee shall bow
419,Every tongue confess
420,Jesus is Lord
421,Every knee shall bow
422,Every tongue confess
423,Jesus is Lord
424,"I know, I know, I know, I know, know"
425,"I, I know it, I know it"
426,The most beautiful thoughts are always besides the darkest
427,"Today, I seriously thought about killing you"
428,"I contemplated, premeditated murder"
429,And I think about killing myself
430,"And I love myself way more than I love you, so…"
431,"Today, I thought about killing you, premeditated murder"
432,You'd only care enough to kill somebody you love
433,The most beautiful thoughts are always inside the darkest
434,(Mhm—mhm—mhm—mhm—mhmm)
435,Just say it out loud to see how it feels
436,"People say ""don't say this, don't say that"""
437,"Just say it out loud, just to see how it feels"
438,"Weigh all the options, nothing's off the table"
439,"Today, I thought about killing you, premeditated murder"
440,I think about killing myself
441,"And I, I love myself way more than I love you"
442,The most beautiful thoughts are always besides the darkest
443,(Mhm—mhm—mhm—mhm—mhm—mhm—mhm—mhm—mhmm)
444,I think this is the part where I'm supposed to say somethin' good to compensate it so it doesn't come off bad
445,But sometimes I think really bad things
446,"Really, really, really bad things"
447,And I love myself way more than I love you
448,"See, if I was tryin' to relate it to more people"
449,I'd probably say I'm struggling with loving myself
450,Because that seems like a common theme
451,But that's not the case here
452,I love myself way more than I love you
453,And I think about killing myself
454,"So, best believe, I thought about killing you today"
455,Premeditated murder
456,"I called up my loved ones, I called up my cousins"
457,"I called up the Muslims, said I'm 'bout to go dumb"
458,"Get so bright, it's no sun, get so loud, I hear none"
459,"Screamed so loud, got no lungs, hurt so bad, I go numb"
460,"Time to bring in the drums, that prra-pa-pa-pum"
461,"Set the NewTone on 'em, set the nuke off on 'em"
462,"I need Coke with no rum, I taste coke on her tongue"
463,"I don't joke with no one, they'll say ""He died so young"""
464,I done had a bad case of too many bad days
465,"Got too many bad traits, used the floor for ashtrays"
466,"I don't do shit halfway, I'ma clear the cache"
467,"I'ma make my name last, put that on my last name"
468,It's a different type of rules that we obey
469,"Ye, Ye, Ye season, nigga, we Old Bay"
470,"We was all born to die, nigga, DOA"
471,"Niggas say they hero, mm, I don't see no cape"
472,"Mm, I don't see no, mm, yeah, I don't see no, mm, mm"
473,"If I wasn't shinin' so hard, wouldn't be no shade"
474,"Buckwheat-ass nigga, it's gon' be o-tay"
475,"Sorry, but I chose not to be no slave"
476,"Young nigga shit, nigga, we don't age"
477,I thought I was past my Deebo ways
478,"Even when I went broke, I ain't break"
479,"How you gon' hate? Nigga, we go way back"
480,To when I had the braids and you had the wave cap
481,Drop a pin for the fade and I'm on my way ASAP
482,"Don't get socked in the mouth, you know homie don't play that"
483,Pay the fire marshal bill 'cause this shit done got way packed
484,"They wanna see me go ape (Ape, ape)"
485,All you gotta do is speak on Ye
486,Don't get your tooth chipped like Frito-Lay
487,"Shit could get menacin', frightenin', find help"
488,"Sometimes I scare myself, myself"
489,"Shit could get menacin', frightenin', find help"
490,"Sometimes I scare, myself, myself"
491,"Tweakin', tweakin' off that 2C-B, huh"
492,"Is he gon' make it? TBD, huh"
493,"Thought I was gon' run, DMC, huh"
494,"I done died and lived again on DMT, huh"
495,"See, this a type of high that won't come down"
496,This the type of high that get you gunned down
497,"Yeezy, Yeezy trollin' OD, huh"
498,"Turn TMZ to Smack DVD, huh"
499,Russell Simmons wanna pray for me too
500,I'ma pray for him 'cause he got MeToo'd
501,Thinkin' what if that happened to me too
502,Then I'm on E! News
503,"Shit could get menacin', frightenin', find help"
504,"Sometimes I scare myself, myself"
505,"Shit could get menacin', frightenin', find help"
506,"Sometimes I scare myself, myself"
507,"Ayy, hospital band a hundred bands, fuck a watch"
508,Hundred grand'll make your best friends turn to opps
509,I hear y'all bringin' my name up a lot
510,Guess I just turned the clout game up a notch
511,"See, y'all really shocked, but I'm really not"
512,You know how many girls I took to the titty shop?
513,"If she get the ass with it, that's a 50 pop"
514,I still bring the bad bitches in the city out
515,"Uh, just a different type of leader"
516,"We could be in North Korea, I could smoke with Wiz Khalifa, uh"
517,Told my wife I've never seen her
518,"After I hit it, bye Felicia, that's the way that I'ma leave it up"
519,"Shit could get menacin', frightenin', find help"
520,"See, this is why all the bitches fuck with Ye!"
521,Fuck what they talk about!
522,"Sometimes I scare myself, myself"
523,"They take me on meds, off meds, ask yourself"
524,"Shit could get menacin', frightenin', find help"
525,"Ask your homegirl right now, ""Look, you had a shot at Ye?"""
526,"Sometimes I scare myself, myself"
527,You'd drop everything!
528,"Tweakin', tweakin' off that 2C-B, huh"
529,"This is why your bitches fuck with me, huh"
530,"Smash, she gon' end up on TV, huh"
531,"Last thing that you ever wanna see, huh"
532,I can feel the spirits all around me
533,I think Prince and Mike was tryna warn me
534,They know I got demons all on me
535,Devil been tryna make an army
536,They been strategizin' to harm me
537,They don't know they dealin' with a zombie
538,Niggas been tryna test my Gandhi
539,Just because I'm dressed like Abercrombie
540,You see? You see?
541,That's what I'm talkin' 'bout!
542,That's why I fuck with Ye!
543,"See, that's my third per-"
544,"That's my bipolar shit, nigga, what?"
545,"That's my superpower, nigga, ain't no disability"
546,I'm a superhero! I'm a superhero!
547,Agghhh!
548,"Yeah, you supermodel thick"
549,"Damn, that ass bustin' out the bottom"
550,I'ma lose my mind in it
551,"Crazy, that medulla oblongata"
552,Get to rubbin' on my lamp
553,Get the genie out the bottle
554,"Fuck it up, fuck it up"
555,"Pussy good, go 'n back it up"
556,"Pipe her up, I'ma pipe her up"
557,"Make her mine, I done fell in love"
558,"Juicy thing, make that pussy sing"
559,"One more time, baby, do it big"
560,"Make it cry, come boohoo this shit"
561,"Yeah, you supermodel thick"
562,"Damn, that ass bustin' out the bottom"
563,I'ma lose my mind in it
564,"Crazy, that medulla oblongata"
565,Get to rubbin' on my lamp
566,Get the genie out the bottle
567,If I pull up with a Kerry Washington
568,That's gon' be an enormous scandal
569,I could have Naomi Campbell
570,And still might want me a Stormy Daniels
571,Sometimes you gotta bag the boss up
572,I call that takin' Corey Gambles
573,Find yourself up in the food court
574,You might have to enjoy a sample
575,All these thots on Christian Mingle
576,Almost what got Tristan single
577,If you don't ball like him or Kobe
578,Guarantee that bitch gonna leave you
579,"Ayy, time is extremely valuable"
580,And I prefer to waste it on girls that's basic
581,That's just some Ye shit
582,"Right now, let's do what we want"
583,"Let's have a threesome: me, you, and a blunt"
584,I love your titties 'cause they prove
585,I can focus on two things at once
586,"Yeah, you supermodel thick"
587,"Damn, that ass bustin' out the bottom"
588,I'ma lose my mind in it
589,"Crazy, that medulla oblongata"
590,Get to rubbin' on my lamp
591,Get the genie out the bottle
592,Let me hit it raw like fuck the outcome
593,"Ayy, none of us'd be here without cum"
594,"Ayy, if it ain't all about the income"
595,"Ayy, ayy, let me see you go ahead and spend some"
596,"Ayy, if you drivin' 'round in some Dri-Fit"
597,"Ayy, I'ma think that you the type to dry snitch"
598,"Hm, mhm, if I see you pull up with the three stripes"
599,"Ayy, ayy, I'ma fuck around and make you my bitch"
600,"Yeah, you supermodel thick"
601,"Damn, that ass bustin' out the bottom"
602,I'ma lose my mind in it
603,"Crazy, that medulla oblongata"
604,Get to rubbin' on my lamp
605,Get the genie out the bottle
606,I don't feel that she's mine enough
607,"God, I feel I couldn't have you windin' up"
608,Butterfly in my wrist
609,You make pretty women out of my skin
610,And I don't feel like
611,And I know you wouldn't leave
612,"They say, ""Build your own""—I said, ""How, Sway?"""
613,"I said, ""Slavery a choice""—they said, ""How, Ye?"""
614,Just imagine if they caught me on a wild day
615,Now I'm on fifty blogs gettin' fifty calls
616,"My wife callin', screamin', say we 'bout to lose it all"
617,Had to calm her down 'cause she couldn't breathe
618,"Told her she could leave me now, but she wouldn't leave"
619,And I know you wouldn't leave
620,And I sometimes wish
621,We doin' such things
622,We could wait longer than this
623,"Yes, you know you're one of these"
624,"We can run through with the top chopped, yeah"
625,"And the sundress down, ooh"
626,And I know you wouldn't...
627,"Oh, don't bring that up, that's gon' get me sentimental"
628,"You know I'm sensitive, I got a gentle mental"
629,Every time somethin' happen they want me sent to mental
630,"We had an incident, but I cover incidentals"
631,You want me workin' on my messagin'
632,When I'm thinkin' like George Jetson
633,But soundin' like George Jefferson
634,Then they questionin' my methods then
635,If you tweakin' out on my texts again
636,Then I don't get reception here
637,I got the mind state to take us past the stratosphere
638,I use the same attitude that done got us here
639,"I live for now, I don't know what happen after here"
640,"Plus, what was meant to be was meant to be"
641,"Even if, publicly, I lack the empathy"
642,"I ain't finna talk about it, 'nother four centuries"
643,"One and one is two, but me and you, that's infinity"
644,And I know you wouldn't...
645,I don't feel like she's mine enough
646,"God, I feel I couldn't have you windin' up (Why?)"
647,Butterfly in my wrist
648,You make pretty women out of my skin (Out of my skin)
649,And I don't feel like (Uhh)
650,And I know you wouldn't leave (Love me or hate me)
651,For any guy that ever fucked up (Love me or hate me)
652,Ever embarrassed they girl (Love me or hate me)
653,Ever embarrassed they wife (Gone when you miss me)
654,She told you not to do that shit (Ohh)
655,She told you you's gon' fuck the money up
656,"But you ain't wanna listen, did you?"
657,Keep that same energy
658,Now you testin' her loyalty
659,This what they mean when they say
660,"""For better or for worse"", huh?"
